Name,What_it_Does,Funding,Year_Founded,City,Country,Industry,CEO,Employees
Abridge,AI notetaker for doctors,458000000,2018,San Francisco,United States,AI notetaker for doctors,Shiv Rao,301.0
Anthropic,AI model developer,17000000000,2020,San Francisco,United States,AI model developer,Dario Amodei,1500.0
Anysphere,AI coding tools,176000000,2022,San Francisco,United States,AI coding tools,Michael Truell,60.0
Baseten,AI app deployment software,135000000,2019,San Francisco,United States,AI app deployment software,Tuhin Srivastava,30.0
Captions,Video editor,100000000,2021,New York,United States,Video editor,Gaurav Misra,
Clay,AI go-to-market tools,104000000,2017,New York,United States,AI go-to-market tools,Kareem Amin,175.0
Coactive AI,Data labeling software,44000000,2021,San Jose,United States,Data labeling software,Cody Coleman,14.0
Cohere,AI model developer,1000000000,2019,Toronto,Canada,AI model developer,Aidan Gomez,350.0
Crusoe,AI infrastructure,1600000000,2018,San Francisco,United States,AI infrastructure,Chase Lochmiller,
Databricks,Data storage and analytics,19000000000,2013,San Francisco,United States,Data storage and analytics,Ali Ghodsi,8000.0
Decagon,AI agents for customer service,100000000,2023,San Francisco,United States,AI agents for customer service,Jesse Zhang,
DeepL,Language translation service,420000000,2017,Cologne,Germany,Language translation service,Jaroslaw “Jarek” Kutylowski,1000.0
ElevenLabs,Voice generation software,281000000,2022,London,United Kingdom,Voice generation software,Mati Staniszewski,175.0
Figure AI,Humanoid robots,750000000,2022,San Jose,United States,Humanoid robots,Brett Adcock,80.0
Fireworks AI,AI app development software,77000000,2022,Redwood City,United States,AI app development software,Lin Qiao,90.0
Glean,Enterprise search engine,600000000,2019,Palo Alto,United States,Enterprise search engine,Arvind Jain,850.0
Harvey,Legal automation software,500000000,2022,San Francisco,United States,Legal automation software,Winston Weinberg,350.0
Hebbia,General purpose AI for finance and legal,160000000,2020,New York,United States,General purpose AI for finance and legal,George Sivulka,45.0
Hugging Face,Open-source library for AI models,395000000,2016,New York,United States,Open-source library for AI models,Clément Delangue,250.0
Lambda,AI cloud provider,863000000,2012,San Jose,United States,AI cloud provider,Stephen Balaban,350.0
LangChain,AI app development tools,35000000,2023,San Francisco,United States,AI app development tools,Harrison Chase,46.0
Luminance,Enterprise contract automation,165000000,2015,Cambridge,United Kingdom,Enterprise contract automation,Eleanor Lightbody,
Mercor,AI-powered hiring platform,135000000,2023,San Francisco,United States,AI-powered hiring platform,Brendan Foody,70.0
Midjourney,Image generation service,0,2021,San Francisco,United States,Image generation service,David Holz,20.0
Mistral AI,Open source AI model developer,1100000000,2023,Paris,France,Open source AI model developer,Arthur Mensch,55.0
Notion,Productivity software,330000000,2013,San Francisco,United States,Productivity software,Ivan Zhao,1000.0
OpenAI,AI model developer,63920000000,2015,San Francisco,United States,AI model developer,Sam Altman,5000.0
OpenEvidence,ChatGPT for doctors,100000000,2022,Cambridge,United States,ChatGPT for doctors,,
Perplexity AI,AI search engine,900000000,2022,San Francisco,United States,AI search engine,Aravind Srinivas,250.0
Photoroom,Photo editing app,64000000,2019,Paris,France,Photo editing app,Matthieu Rouif,50.0
Pika,Video generation service,135000000,2023,Palo Alto,United States,Video generation service,Demi Guo,13.0
Runway,Video and image editing software,545000000,2018,New York,United States,Video and image editing software,Cristóbal Valenzuela,115.0
Sakana AI,AI models for science and research,244000000,2023,Tokyo,Japan,AI models for science and research,David Ha,
SambaNova,AI chipmaker,1100000000,2017,Palo Alto,United States,AI chipmaker,Rodrigo Liang,
Scale AI,Data labeling and AI infrastructure,1600000000,2016,San Francisco,United States,Data labeling and AI infrastructure,Alexandr Wang,900.0
Sierra,Customer service software,285000000,2023,San Francisco,United States,Customer service software,Bret Taylor,200.0
Skild AI,AI systems for robotics,320000000,2023,Pittsburgh ,United States,AI systems for robotics,Deepak Pathak,
Snorkel AI,Enterprise data labelling,135000000,2019,Redwood City,United States,Enterprise data labelling,Alex Ratner,120.0
Speak,AI language tutor,162000000,2016,San Francisco,United States,AI language tutor,Connor Zwick,
StackBlitz,Web and mobile app development,106000000,2017,San Francisco,United States,Web and mobile app development,Eric Simons,
Suno,Music and sound generation,125000000,2022,Cambridge,United States,Music and sound generation,Mikey Shulman,
Synthesia,AI avatar and video generator,330000000,2017,London,United Kingdom,AI avatar and video generator,Victor Riparbelli,505.0
Thinking Machine Labs,AI research company,0,2024,San Francisco,United States,AI research company,Mira Murati,
Together AI,AI cloud provider,534000000,2022,San Francisco,United States,AI cloud provider,Vipul Ved Prakash,200.0
Vannevar Labs,Defense intelligence software,92000000,2019,Palo Alto,United States,Defense intelligence software,Brett Granberg,111.0
VAST Data,AI data infrastructure software,381000000,2016,New York,United States,AI data infrastructure software,Renen Hallak,1000.0
Windsurf,AI-powered coding tool,243000000,2021,Mountain View,United States,AI-powered coding tool,Varun Mohan,202.0
World Labs,Spatial intelligence,292000000,2024,San Francisco,United States,Spatial intelligence,Fei Fei Li,
Writer,Enterprise AI software,326000000,2020,San Francisco,United States,Enterprise AI software,May Habib,145.0
XAI,AI model developer,12130000000,2023,Palo Alto,United States,AI model developer,,
